,month,position,artist,album,indicativerevenue,us,uk,de,fr,ca,au,genre
0,Jan 2000,1,Celine Dion,All The Way... A Decade Of Songs,10326.939,1,4,1,-,2,1,
1,Jan 2000,2,Santana,Supernatural,8028.1140000000005,1,37,3,15,4,2,Rock
2,Jan 2000,3,Britney Spears,Baby One More Time,7769.903,3,2,8,4,-,16,Pop
3,Jan 2000,4,Shania Twain,Come On Over,7575.665,7,1,19,6,4,2,Country
4,Jan 2000,5,The Backstreet Boys,Millennium,6996.635,2,36,34,-,5,28,
5,Jan 2000,6,Christina Aguilera,Christina Aguilera,6757.2609999999995,4,45,65,75,9,-,Pop
6,Jan 2000,7,Mariah Carey,Rainbow,6153.590999999999,8,42,40,11,-,37,Pop
7,Jan 2000,8,Metallica & the San Francisco Symphony,S&M,6122.613,13,94,2,30,-,8,
8,Jan 2000,9,Dr Dre,Dr. Dre -- 2001,6090.946999999999,5,54,21,50,7,-,
9,Jan 2000,10,DMX,...And Then There Was X,5802.882,1,-,46,-,6,-,Hip-Hop/Rap
10,Jan 2000,11,Will Smith,Willennium,5481.522,9,19,53,26,-,30,Hip-Hop/Rap
11,Jan 2000,12,Various Artists,Now 3,5064.143,4,-,-,-,-,-,Hip-Hop/Rap
12,Jan 2000,13,Andrea Bocelli,Sacred Arias,5059.673,22,28,3,5,9,7,World/International
13,Jan 2000,14,Korn,Issues,5018.269,10,100,26,-,-,5,Alternative
14,Jan 2000,15,Savage Garden,Affirmation,4929.185,19,41,68,-,8,2,Pop
15,Jan 2000,16,Ricky Martin,Ricky Martin,4724.07,19,39,24,-,-,9,World/International
16,Jan 2000,17,2Pac & Outlawz,Still I Rise,4656.347,6,75,24,-,-,-,
17,Jan 2000,18,Lou Bega,A Little Bit Of Mambo,4536.694,17,-,100,22,10,30,
18,Jan 2000,19,Eiffel 65,Europop,4517.852,8,-,37,10,6,-,
19,Jan 2000,20,Limp Bizkit,Significant Other,4450.195,11,-,72,-,5,17,Alternative
20,Jan 2000,21,The Dixie Chicks,Fly,4386.435,11,-,-,-,-,-,
21,Jan 2000,22,Red Hot Chili Peppers,Californication,4372.415,46,23,20,45,-,5,Rock
22,Jan 2000,23,Destiny's Child,The Writing's On The Wall,4245.0779999999995,20,58,52,48,-,-,R&B/Soul
23,Jan 2000,24,Kid Rock,Devil Without A Cause,4241.032999999999,10,-,-,-,-,-,Rock
24,Jan 2000,25,Notorious BIG,Born Again,4148.573,14,-,47,-,-,-,
25,Jan 2000,26,blink-182,Enema Of The State,4051.922,12,-,-,-,-,11,Rock
26,Jan 2000,27,Jay-Z,Vol 3: Life & Times of S Carter,3971.3140000000003,1,-,-,-,8,-,
27,Jan 2000,28,Juvenile,Tha G-Code,3920.426,10,-,-,-,-,-,
28,Jan 2000,29,Macy Gray,On How Life Is,3856.5170000000003,54,3,25,45,-,1,Hip-Hop/Rap
29,Jan 2000,30,Jennifer Lopez,On The 6,3796.4709999999995,46,49,33,61,-,42,Pop
30,Jan 2000,31,Enrique Iglesias,Enrique,3791.295,35,-,15,51,9,41,Pop
31,Jan 2000,32,Kenny G,Faith: A Holiday Album,3735.883,6,-,-,-,-,-,Jazz
32,Jan 2000,33,Beastie Boys,Beastie Boys Anthology: The Sounds Of Science,3705.522,35,54,64,-,-,18,Punk
33,Jan 2000,34,Faith Hill,Breathe,3697.137,15,-,-,-,-,-,Country
34,Jan 2000,35,Rage Against The Machine,The Battle Of Los Angeles,3645.95,26,-,53,-,-,12,
35,Jan 2000,36,Sisqo,Unleash The Dragon,3570.492,14,-,67,-,-,-,
36,Jan 2000,37,Whitney Houston,My Love Is Your Love,3570.1859999999997,83,18,20,18,-,-,Pop
37,Jan 2000,38,George Michael,Songs From The Last Century,3512.5009999999997,157,3,5,7,-,17,Pop/Rock
38,Jan 2000,39,Sting,Brand New Day,3462.1929999999998,53,26,35,12,-,-,Rock
39,Jan 2000,40,Various Artists,Totally Hits,3438.415,24,-,-,-,-,-,Hip-Hop/Rap
40,Jan 2000,41,Creed,Human Clay,3405.825,25,-,-,-,-,-,Rock
41,Jan 2000,42,Alanis Morissette,MTV Unplugged,3207.173,81,56,9,43,-,-,Pop/Rock
42,Jan 2000,43,Brian McKnight,Back At One,3190.4570000000003,30,-,-,-,-,-,R&B/Soul
43,Jan 2000,44,Juvenile,400 Degreez,3120.4359999999997,25,-,-,-,-,-,
44,Jan 2000,45,Charlotte Church,Charlotte Church,3042.1090000000004,40,15,-,-,-,41,Pop
45,Jan 2000,46,Smash Mouth,Astro Lounge,3034.117,31,-,-,-,-,49,
46,Jan 2000,47,Tim McGraw,A Place In The Sun,2974.0040000000004,32,-,-,-,-,-,Country
47,Jan 2000,48,Eric Clapton,Clapton Chronicles - The Best Of Eric Clapton,2877.215,74,32,24,-,-,44,Blues-Rock
48,Jan 2000,49,98 Degrees,98 Degrees And Rising,2835.341,29,-,-,-,-,-,Traditional Pop
49,Jan 2000,50,LFO,LFO,2790.833,36,-,-,-,-,-,
50,Feb 2000,1,Santana,Supernatural,10495.508,1,4,1,1,1,3,Rock
51,Feb 2000,2,Celine Dion,All The Way... A Decade Of Songs,8588.05,2,11,1,-,3,4,
52,Feb 2000,3,Dr Dre,Dr. Dre -- 2001,7567.616,2,42,20,39,3,-,
53,Feb 2000,4,Shania Twain,Come On Over,6662.438,15,2,19,4,8,5,Country
54,Feb 2000,5,Britney Spears,Baby One More Time,6505.209,13,2,11,15,-,26,Pop
55,Feb 2000,6,Christina Aguilera,Christina Aguilera,6457.093000000001,4,14,63,45,-,34,Pop
56,Feb 2000,7,Eiffel 65,Europop,6383.175,6,12,42,6,5,23,
57,Feb 2000,8,The Backstreet Boys,Millennium,5874.348000000001,9,20,24,-,9,28,
58,Feb 2000,9,DMX,...And Then There Was X,5539.893,3,-,46,-,-,-,Hip-Hop/Rap
59,Feb 2000,10,Macy Gray,On How Life Is,5374.996999999999,18,4,19,43,-,1,Hip-Hop/Rap
60,Feb 2000,11,Various Artists,Now 3,4785.935,4,-,-,-,-,-,Hip-Hop/Rap
61,Feb 2000,12,Red Hot Chili Peppers,Californication,4762.04,39,23,7,31,-,2,Rock
62,Feb 2000,13,Sisqo,Unleash The Dragon,4743.446,10,67,69,-,-,-,
63,Feb 2000,14,Metallica & the San Francisco Symphony,S&M,4468.81,18,100,2,65,-,10,
64,Feb 2000,15,Kid Rock,Devil Without A Cause,4442.98,8,-,-,-,-,-,Rock
65,Feb 2000,16,Savage Garden,Affirmation,4425.447,15,69,78,-,-,2,Pop
66,Feb 2000,17,D Angelo,Voodoo,4369.487,1,-,-,-,-,-,
67,Feb 2000,18,Enigma,The Screen Behind The Mirror,4353.452,33,10,2,16,-,44,
68,Feb 2000,19,Jay-Z,Vol 3: Life & Times of S Carter,4218.028,6,-,-,-,-,-,
69,Feb 2000,20,Mariah Carey,Rainbow,4210.575,21,67,34,26,-,-,Pop
70,Feb 2000,21,2Pac & Outlawz,Still I Rise,4169.933,11,-,24,-,-,-,
71,Feb 2000,22,Destiny's Child,The Writing's On The Wall,4156.134,16,85,55,72,-,-,R&B/Soul
72,Feb 2000,23,The Dixie Chicks,Fly,4075.027,12,-,-,-,-,-,
73,Feb 2000,24,blink-182,Enema Of The State,3814.284,16,88,42,-,-,7,Rock
74,Feb 2000,25,Limp Bizkit,Significant Other,3754.7870000000003,17,-,65,-,-,17,Alternative
75,Feb 2000,26,Sting,Brand New Day,3735.0559999999996,61,16,23,16,-,-,Rock
76,Feb 2000,27,Lou Bega,A Little Bit Of Mambo,3623.7459999999996,24,-,-,23,-,50,
77,Feb 2000,28,Enrique Iglesias,Enrique,3539.765,34,-,17,-,7,41,Pop
78,Feb 2000,29,Korn,Issues,3539.579,25,-,30,-,-,12,Alternative
79,Feb 2000,30,Jagged Edge,J.E. Heartbreak,3450.9190000000003,8,-,-,-,-,-,R&B/Soul
80,Feb 2000,31,Creed,Human Clay,3445.9959999999996,20,-,100,-,-,-,Rock
81,Feb 2000,32,Faith Hill,Breathe,3400.81,15,-,-,-,-,-,Country
82,Feb 2000,33,Original Soundtrack,Next Friday,3394.4970000000003,19,-,-,-,-,-,
83,Feb 2000,34,Ricky Martin,Ricky Martin,3227.383,34,71,48,-,-,24,World/International
84,Feb 2000,35,Moby,Play,3125.261,88,7,21,50,-,2,
85,Feb 2000,36,Brian McKnight,Back At One,3118.1009999999997,26,-,-,-,-,-,R&B/Soul
86,Feb 2000,37,Whitney Houston,My Love Is Your Love,3104.967,78,30,27,38,-,-,Pop
87,Feb 2000,38,Juvenile,Tha G-Code,3030.0759999999996,24,-,-,-,-,-,
88,Feb 2000,39,Notorious BIG,Born Again,2951.698,28,-,47,-,-,-,
89,Feb 2000,40,Various Artists,Totally Hits,2909.006,27,-,-,-,-,-,Hip-Hop/Rap
90,Feb 2000,41,Juvenile,400 Degreez,2773.923,30,-,-,-,-,-,
91,Feb 2000,42,Lonestar,Lonely Grill,2754.14,31,-,-,-,-,-,Alternative Country
92,Feb 2000,43,Jennifer Lopez,On The 6,2741.282,55,74,51,-,-,-,Pop
93,Feb 2000,44,The Lox,We Are The Streets,2740.9829999999997,5,-,-,-,-,-,
94,Feb 2000,45,Eve,Let There Be... EVE--Ruff Ryders First Lady,2737.192,36,-,-,-,-,-,Hip-Hop/Rap
95,Feb 2000,46,Marc Anthony,Marc Anthony,2676.7340000000004,41,-,53,-,-,-,World/International
96,Feb 2000,47,Tim McGraw,A Place In The Sun,2665.57,36,-,-,-,-,-,Country
97,Feb 2000,48,Andrea Bocelli,Sacred Arias,2648.357,65,-,30,34,-,-,World/International
98,Feb 2000,49,Will Smith,Willennium,2615.798,35,70,-,74,-,-,Hip-Hop/Rap
99,Feb 2000,50,Mandy Moore,So Real,2610.738,34,-,-,-,-,-,Pop
100,Mar 2000,1,Santana,Supernatural,12731.079,1,1,1,1,1,1,Rock
101,Mar 2000,2,Dr Dre,Dr. Dre -- 2001,8393.489,2,17,23,59,3,-,
102,Mar 2000,3,Macy Gray,On How Life Is,7750.523,6,3,20,24,2,1,Hip-Hop/Rap
103,Mar 2000,4,Celine Dion,All The Way... A Decade Of Songs,7015.335,3,16,10,-,6,13,
104,Mar 2000,5,Eiffel 65,Europop,6796.6990000000005,4,12,60,7,7,18,
105,Mar 2000,6,Christina Aguilera,Christina Aguilera,6613.816999999999,3,14,77,44,-,26,Pop
106,Mar 2000,7,Shania Twain,Come On Over,6055.894,20,2,35,6,-,12,Country
107,Mar 2000,8,The Backstreet Boys,Millennium,5935.266,10,15,24,-,-,14,
108,Mar 2000,9,Britney Spears,Baby One More Time,5898.901999999999,17,6,17,10,-,17,Pop
109,Mar 2000,10,Red Hot Chili Peppers,Californication,5762.267,23,22,6,31,-,3,Rock
110,Mar 2000,11,Sisqo,Unleash The Dragon,5429.505999999999,6,49,-,-,-,-,
111,Mar 2000,12,Kid Rock,Devil Without A Cause,5230.130999999999,4,-,-,-,-,-,Rock
112,Mar 2000,13,DMX,...And Then There Was X,4957.326,8,-,59,-,-,-,Hip-Hop/Rap
113,Mar 2000,14,Destiny's Child,The Writing's On The Wall,4823.654,10,47,-,-,-,-,R&B/Soul
114,Mar 2000,15,blink-182,Enema Of The State,4710.143,33,15,18,-,-,5,Rock
115,Mar 2000,16,Sting,Brand New Day,4587.963,29,16,9,29,-,-,Rock
116,Mar 2000,17,The Dixie Chicks,Fly,4584.444,8,-,-,-,-,-,
117,Mar 2000,18,Various Artists,Grammy Nominees 2000,4553.852,9,-,-,-,1,-,Hip-Hop/Rap
118,Mar 2000,19,The Smashing Pumpkins,Machina - The Machines Of God,4517.126,3,7,4,4,2,2,Alternative
119,Mar 2000,20,D Angelo,Voodoo,4458.065,4,-,-,-,-,-,
120,Mar 2000,21,Moby,Play,4429.944,66,2,27,31,-,1,
121,Mar 2000,22,Savage Garden,Affirmation,4365.706,23,31,78,-,-,4,Pop
122,Mar 2000,23,AC/DC,Stiff Upper Lip,4343.251,7,12,1,2,5,3,Rock
123,Mar 2000,24,Creed,Human Clay,4168.146,17,-,88,-,-,-,Rock
124,Mar 2000,25,Various Artists,Now 3,4004.8320000000003,11,-,-,-,-,-,Hip-Hop/Rap
125,Mar 2000,26,Faith Hill,Breathe,3987.985,15,-,76,-,-,-,Country
126,Mar 2000,27,Tracy Chapman,Telling Stories,3835.272,33,92,5,10,-,33,Rock
127,Mar 2000,28,Marc Anthony,Marc Anthony,3820.9559999999997,18,-,57,-,-,-,World/International
128,Mar 2000,29,The Cure,Bloodflowers,3812.9359999999997,16,53,5,11,-,11,College Rock
129,Mar 2000,30,Limp Bizkit,Significant Other,3700.3520000000003,25,-,50,-,-,28,Alternative
130,Mar 2000,31,Metallica & the San Francisco Symphony,S&M,3682.844,42,100,6,-,-,24,
131,Mar 2000,32,Oasis,Standing On The Shoulder Of Giants,3671.85,24,1,5,6,8,6,Alternative
132,Mar 2000,33,Mariah Carey,Rainbow,3510.263,37,63,45,26,-,-,Pop
133,Mar 2000,34,Snoop Dogg & Tha Eastsidaz,Snoop Dogg Presents Tha Eastsidaz,3489.165,14,-,-,-,-,-,
134,Mar 2000,35,Jay-Z,Vol 3: Life & Times of S Carter,3485.276,21,-,-,-,-,-,
135,Mar 2000,36,Jagged Edge,J.E. Heartbreak,3344.4159999999997,24,-,-,-,-,-,R&B/Soul
136,Mar 2000,37,Lou Bega,A Little Bit Of Mambo,3294.9629999999997,27,-,-,47,-,-,
137,Mar 2000,38,Ricky Martin,Ricky Martin,3290.927,45,27,58,-,-,42,World/International
138,Mar 2000,39,Korn,Issues,3252.1740000000004,37,-,50,-,-,-,Alternative
139,Mar 2000,40,Ghostface Killah,Supreme Clientele,3246.4790000000003,7,-,75,-,-,-,
140,Mar 2000,41,Steely Dan,Two Against Nature,3224.591,6,11,11,-,-,-,
141,Mar 2000,42,2Pac & Outlawz,Still I Rise,3048.05,32,-,38,-,-,-,
142,Mar 2000,43,Phil Collins,Tarzan,3042.51,44,-,29,67,-,-,
143,Mar 2000,44,Brian McKnight,Back At One,3007.4640000000004,26,-,-,-,-,-,R&B/Soul
144,Mar 2000,45,Tom Jones,Reload,2998.482,-,3,3,9,-,37,Pop
145,Mar 2000,46,Lonestar,Lonely Grill,2991.583,31,-,-,-,-,-,Alternative Country
146,Mar 2000,47,The Lox,We Are The Streets,2971.7729999999997,25,-,-,-,-,-,
147,Mar 2000,48,Bone Thugs-n-Harmony,BTNH Resurrection,2941.902,2,-,87,-,-,-,Hip-Hop/Rap
148,Mar 2000,49,Various Artists,Totally Hits,2898.2690000000002,30,-,-,-,-,-,Hip-Hop/Rap
149,Mar 2000,50,Enigma,The Screen Behind The Mirror,2875.954,60,64,8,62,-,46,
150,Apr 2000,1,Santana,Supernatural,11582.16,1,1,1,1,1,2,Rock
151,Apr 2000,2,Macy Gray,On How Life Is,7725.231,4,4,20,31,2,4,Hip-Hop/Rap
152,Apr 2000,3,N Sync,No Strings Attached,7537.347,1,14,7,-,1,3,
153,Apr 2000,4,Dr Dre,Dr. Dre -- 2001,7251.666,3,15,35,72,4,-,
154,Apr 2000,5,Sisqo,Unleash The Dragon,6795.241999999999,2,16,-,-,9,-,
155,Apr 2000,6,Destiny's Child,The Writing's On The Wall,6130.691,7,14,77,62,-,3,R&B/Soul
156,Apr 2000,7,Red Hot Chili Peppers,Californication,5202.267,22,37,10,58,-,4,Rock
157,Apr 2000,8,Moby,Play,5123.009,53,1,30,4,-,2,
158,Apr 2000,9,Shania Twain,Come On Over,5043.402,31,5,51,7,-,13,Country
159,Apr 2000,10,Celine Dion,All The Way... A Decade Of Songs,5014.32,14,16,33,-,-,25,
160,Apr 2000,11,Sting,Brand New Day,4923.07,36,12,10,25,-,48,Rock
161,Apr 2000,12,Bloodhound Gang,Hooray For Boobies,4896.901,14,37,12,-,6,-,Rock
162,Apr 2000,13,AC/DC,Stiff Upper Lip,4818.9259999999995,22,54,3,11,10,9,Rock
163,Apr 2000,14,The Backstreet Boys,Millennium,4759.5109999999995,15,26,46,-,-,18,
164,Apr 2000,15,Kid Rock,Devil Without A Cause,4665.898,8,-,-,-,-,-,Rock
165,Apr 2000,16,Christina Aguilera,Christina Aguilera,4660.472,10,59,-,-,-,26,Pop
166,Apr 2000,17,blink-182,Enema Of The State,4609.849,33,15,19,-,-,4,Rock
167,Apr 2000,18,DMX,...And Then There Was X,4521.467000000001,10,-,-,-,-,-,Hip-Hop/Rap
168,Apr 2000,19,Britney Spears,Baby One More Time,4471.201,30,23,43,24,-,30,Pop
169,Apr 2000,20,Bone Thugs-n-Harmony,BTNH Resurrection,4341.4890000000005,5,-,-,-,-,-,Hip-Hop/Rap
170,Apr 2000,21,Eiffel 65,Europop,4246.146,17,85,78,24,-,22,
171,Apr 2000,22,The Dixie Chicks,Fly,4226.1,12,-,-,-,-,-,
172,Apr 2000,23,Black Rob,Life Story,4081.345,6,-,-,-,-,-,
173,Apr 2000,24,Creed,Human Clay,4047.5009999999997,12,-,100,-,-,-,Rock
174,Apr 2000,25,Pantera,Reinventing The Steel,4013.2509999999997,4,33,18,21,8,2,Metal
175,Apr 2000,26,Steely Dan,Two Against Nature,3983.5159999999996,19,48,29,-,-,-,
176,Apr 2000,27,Ice Cube,War ,3891.885,3,-,-,-,-,-,Hip-Hop/Rap
177,Apr 2000,28,The Smashing Pumpkins,Machina - The Machines Of God,3835.105,27,58,9,44,-,12,Alternative
178,Apr 2000,29,George Strait,Latest Greatest Straitest Hits,3833.7470000000003,9,-,-,-,-,-,Country
179,Apr 2000,30,Limp Bizkit,Significant Other,3774.633,29,-,33,-,-,13,Alternative
180,Apr 2000,31,Savage Garden,Affirmation,3704.995,36,20,93,-,-,7,Pop
181,Apr 2000,32,Gerald Levert,G,3581.11,13,-,-,-,-,-,
182,Apr 2000,33,Faith Hill,Breathe,3567.77,19,-,78,-,-,-,Country
183,Apr 2000,34,Jay-Z,Vol 3: Life & Times of S Carter,3417.6809999999996,15,-,-,-,-,-,
184,Apr 2000,35,Enrique Iglesias,Enrique,3399.813,38,-,7,-,4,48,Pop
185,Apr 2000,36,Various Artists,WWF: World Wrestling Federation -- Aggression,3333.833,8,-,-,-,6,-,Hip-Hop/Rap
186,Apr 2000,37,Marc Anthony,Marc Anthony,3283.764,23,-,-,-,-,-,World/International
187,Apr 2000,38,Original Soundtrack,Romeo Must Die,3263.2729999999997,3,-,-,-,5,-,
188,Apr 2000,39,Various Artists,Grammy Nominees 2000,3165.4570000000003,25,-,-,-,4,-,Hip-Hop/Rap
189,Apr 2000,40,Tracy Chapman,Telling Stories,2955.903,58,-,22,26,-,-,Rock
190,Apr 2000,41,Drama,Causin Drama,2935.3559999999998,32,-,-,-,-,-,
191,Apr 2000,42,Three Doors Down,The Better Life,2897.643,27,-,-,-,-,-,
192,Apr 2000,43,Korn,Issues,2884.57,34,-,59,-,-,-,Alternative
193,Apr 2000,44,Metallica & the San Francisco Symphony,S&M,2857.324,56,-,11,-,-,37,
194,Apr 2000,45,D Angelo,Voodoo,2826.323,26,-,-,-,-,-,
195,Apr 2000,46,Beanie Sigel,The Truth,2821.7270000000003,20,-,-,-,-,-,Hip-Hop/Rap
196,Apr 2000,47,Ricky Martin,Ricky Martin,2753.6929999999998,68,52,47,-,-,48,World/International
197,Apr 2000,48,Various Artists,Now 3,2750.013,28,-,-,-,-,-,Hip-Hop/Rap
198,Apr 2000,49,Vertical Horizon,Everything You Want,2730.7690000000002,40,-,-,-,-,-,
199,Apr 2000,50,Tom Jones,Reload,2708.381,-,2,7,19,-,32,Pop
200,May 2000,1,Santana,Supernatural,10212.513,3,3,1,1,2,9,Rock
201,May 2000,2,N Sync,No Strings Attached,9173.916,1,79,16,-,1,8,
202,May 2000,3,Sisqo,Unleash The Dragon,7611.9619999999995,3,15,54,-,8,36,
203,May 2000,4,Destiny's Child,The Writing's On The Wall,6955.001,5,19,37,40,-,2,R&B/Soul
204,May 2000,5,Dr Dre,Dr. Dre -- 2001,6647.904,9,4,49,53,6,-,
205,May 2000,6,Toni Braxton,The Heat,6606.383000000001,2,3,3,9,1,14,R&B/Soul
206,May 2000,7,Macy Gray,On How Life Is,6533.005,10,18,40,46,3,3,Hip-Hop/Rap
207,May 2000,8,Joe Thomas,My Name Is Joe,6363.151,2,74,58,26,-,-,R&B/Soul
208,May 2000,9,No Doubt,Return Of Saturn,6151.743,2,90,5,30,4,15,Pop
209,May 2000,10,Moby,Play,5493.019,53,1,30,4,-,6,
210,May 2000,11,Cypress Hill,Skull & Bones,5397.919,5,6,4,13,3,6,Hip-Hop/Rap
211,May 2000,12,Bloodhound Gang,Hooray For Boobies,5206.255,17,37,18,-,6,-,Rock
212,May 2000,13,Red Hot Chili Peppers,Californication,5147.259,22,34,25,-,-,5,Rock
213,May 2000,14,Sting,Brand New Day,5146.099,29,11,10,43,-,45,Rock
214,May 2000,15,Creed,Human Clay,5094.042,6,-,-,-,-,-,Rock
215,May 2000,16,Kid Rock,Devil Without A Cause,4754.804,10,-,91,-,-,-,Rock
216,May 2000,17,Christina Aguilera,Christina Aguilera,4722.375,6,81,-,-,-,33,Pop
217,May 2000,18,Celine Dion,All The Way... A Decade Of Songs,4410.592000000001,22,58,60,-,-,28,
218,May 2000,19,DMX,...And Then There Was X,4409.976,10,-,-,-,-,-,Hip-Hop/Rap
219,May 2000,20,Shania Twain,Come On Over,4394.248,42,8,92,11,-,10,Country
220,May 2000,21,Original Soundtrack,Romeo Must Die,4374.247,6,-,-,-,8,15,
221,May 2000,22,The Dixie Chicks,Fly,4361.907,9,-,-,-,-,-,
222,May 2000,23,Enrique Iglesias,Enrique,4323.708,33,-,7,-,5,35,Pop
223,May 2000,24,blink-182,Enema Of The State,4321.856,38,30,29,-,-,4,Rock
224,May 2000,25,Jay-Z,Vol 3: Life & Times of S Carter,4310.259,10,-,-,-,-,-,
225,May 2000,26,Britney Spears,Baby One More Time,4299.291,32,15,45,36,-,32,Pop
226,May 2000,27,Faith Hill,Breathe,4119.275,10,21,78,-,-,-,Country
227,May 2000,28,The Backstreet Boys,Millennium,4114.486,17,75,71,-,-,36,
228,May 2000,29,Da Brat,Unrestricted,4056.223,5,-,-,-,-,-,Hip-Hop/Rap
229,May 2000,30,Limp Bizkit,Significant Other,4050.054,29,-,31,-,-,8,Alternative
230,May 2000,31,Pink Floyd,Is There Anybody Out There? The Wall Live 1980-81,3748.64,19,73,3,24,4,-,Prog-Rock/Art Rock
231,May 2000,32,Neil Young,Silver & Gold,3717.9109999999996,22,10,5,38,-,30,Alternative
232,May 2000,33,Big Punisher,Yeeeah Baby,3713.237,8,-,-,-,-,-,Hip-Hop/Rap
233,May 2000,34,Eiffel 65,Europop,3656.9559999999997,23,-,65,42,-,31,
234,May 2000,35,Three Doors Down,The Better Life,3631.962,17,-,-,-,-,-,
235,May 2000,36,Marc Anthony,Marc Anthony,3464.8109999999997,23,-,-,-,8,-,World/International
236,May 2000,37,Savage Garden,Affirmation,3455.809,40,39,-,-,-,1,Pop
237,May 2000,38,Eminem,The Slim Shady Lp,3437.43,28,26,-,-,-,-,Rap
238,May 2000,39,Pink,Can't Take Me Home,3416.823,29,75,85,-,-,-,
239,May 2000,40,Carl Thomas,Emotional,3338.738,9,-,-,-,-,-,Hip-Hop/Rap
240,May 2000,41,Ice Cube,War ,3220.893,18,-,-,-,-,-,Hip-Hop/Rap
241,May 2000,42,Bone Thugs-n-Harmony,BTNH Resurrection,3118.35,24,-,-,-,-,-,Hip-Hop/Rap
242,May 2000,43,AC/DC,Stiff Upper Lip,3091.8190000000004,58,-,6,17,-,30,Rock
243,May 2000,44,Various Artists,WWF: World Wrestling Federation -- Aggression,3055.1290000000004,23,-,-,-,-,-,Hip-Hop/Rap
244,May 2000,45,George Strait,Latest Greatest Straitest Hits,3019.6259999999997,32,-,-,-,-,-,Country
245,May 2000,46,Black Rob,Life Story,2897.208,26,-,-,-,-,-,
246,May 2000,47,Drag-on,Opposite Of H2O,2846.5040000000004,21,-,-,-,-,-,
247,May 2000,48,Tom Jones,Reload,2748.685,-,1,10,27,-,20,Pop
248,May 2000,49,Donell Jones,Where I Wanna Be,2731.4790000000003,37,-,-,-,-,-,
249,May 2000,50,Lonestar,Lonely Grill,2695.933,45,80,-,-,-,-,Alternative Country
250,Jun 2000,1,Britney Spears,Oops!... I Did It Again,10270.726999999999,1,3,1,1,1,2,Pop
251,Jun 2000,2,Eminem,The Marshall Mathers LP,8557.440999999999,1,1,3,15,1,22,Rap
252,Jun 2000,3,Santana,Supernatural,8313.936,3,8,4,1,4,18,Rock
253,Jun 2000,4,Whitney Houston,Whitney Houston's Greatest Hits,7256.566,5,1,2,-,4,11,Pop
254,Jun 2000,5,N Sync,No Strings Attached,6638.331999999999,1,-,60,-,3,27,
255,Jun 2000,6,Original Soundtrack,Mission: Impossible 2,6375.226,2,-,31,-,1,5,
256,Jun 2000,7,Toni Braxton,The Heat,6161.0,7,16,3,20,6,24,R&B/Soul
257,Jun 2000,8,Pearl Jam,Binaural,6113.149,2,14,4,34,2,1,Rock
258,Jun 2000,9,Sisqo,Unleash The Dragon,5929.8369999999995,4,34,54,65,-,31,
259,Jun 2000,10,Macy Gray,On How Life Is,5414.236999999999,11,24,50,72,5,7,Hip-Hop/Rap
260,Jun 2000,11,Matchbox Twenty,Mad Season,5406.585,3,31,11,-,3,1,
261,Jun 2000,12,Dr Dre,Dr. Dre -- 2001,5298.729,14,8,58,61,-,-,
262,Jun 2000,13,Moby,Play,5255.125,48,2,41,1,-,8,
263,Jun 2000,14,Creed,Human Clay,5035.076,6,-,-,-,-,-,Rock
264,Jun 2000,15,Destiny's Child,The Writing's On The Wall,5022.795,12,43,45,50,-,6,R&B/Soul
265,Jun 2000,16,Joe Thomas,My Name Is Joe,4901.429,5,-,78,61,-,-,R&B/Soul
266,Jun 2000,17,Sting,Brand New Day,4643.285,29,18,15,43,-,-,Rock
267,Jun 2000,18,Cypress Hill,Skull & Bones,4426.602,15,58,8,37,10,25,Hip-Hop/Rap
268,Jun 2000,19,Big Tymers,I Got That Work,4374.498,3,-,-,-,-,-,
269,Jun 2000,20,Red Hot Chili Peppers,Californication,4305.146,27,42,29,-,-,7,Rock
270,Jun 2000,21,Three Doors Down,The Better Life,4018.24,11,-,-,-,-,-,
271,Jun 2000,22,Don Henley,Inside Job,3999.538,7,25,14,-,-,-,Rock
272,Jun 2000,23,A Perfect Circle,Mer De Noms,3905.968,4,55,55,-,5,2,
273,Jun 2000,24,Kid Rock,Devil Without A Cause,3855.0240000000003,13,-,91,-,-,-,Rock
274,Jun 2000,25,Eminem,The Slim Shady Lp,3765.5559999999996,25,25,-,-,-,-,Rap
275,Jun 2000,26,Shania Twain,Come On Over,3754.698,45,11,-,9,-,19,Country
276,Jun 2000,27,504 Boyz,Goodfellas,3642.428,8,-,-,-,-,-,
277,Jun 2000,28,Jay-Z,Vol 3: Life & Times of S Carter,3635.285,16,-,-,-,-,-,
278,Jun 2000,29,Kid Rock,The History Of Rock,3615.27,2,73,28,-,3,-,Rock
279,Jun 2000,30,blink-182,Enema Of The State,3604.6479999999997,48,29,39,-,-,10,Rock
280,Jun 2000,31,Faith Hill,Breathe,3578.928,10,21,-,-,-,-,Country
281,Jun 2000,32,The Dixie Chicks,Fly,3510.312,9,-,-,-,-,-,
282,Jun 2000,33,Christina Aguilera,Christina Aguilera,3497.3790000000004,20,100,-,-,-,49,Pop
283,Jun 2000,34,Enrique Iglesias,Enrique,3494.5840000000003,36,-,9,-,7,-,Pop
284,Jun 2000,35,Limp Bizkit,Significant Other,3450.559,34,-,37,-,-,14,Alternative
285,Jun 2000,36,DMX,...And Then There Was X,3449.679,18,-,-,-,-,-,Hip-Hop/Rap
286,Jun 2000,37,Marc Anthony,Marc Anthony,3287.0820000000003,23,-,83,-,8,-,World/International
